zh-CN,en-US
按下此键接通或断开SBC电源。,Press this button to connect to or disconnect from the power supply of SBC.
SBC电源键,SBC power button
BCS-USB 2.0 接口,BCS-USB 2.0 port
SBC-USB 3.0 接口,SBC-USB 3.0 port
将SBC连接到外部网络。,Connects the SBC to the network.
连接BCS外接显示器。,Connects to the BCS external monitor.
SBC网络接口,SBC network port
连接UPS。,Connects to the UPS.
将BCS连接到外部网络。,Connects the BCS to the network.
BCS 光纤接口,BCS fiber port
本仪器控制软件将事件写入日志文件，可通过控制软件界面或本地存储路径查看仪器活动日志。,"The control software of the device writes events to a log file, which can be viewed through the control software interface or the local storage path."
对测序仪Windows操作系统的访问记录在Windows日志中。,Access to the sequencer's Windows operating system is recorded in the Windows log.
以下说明日志记录的内容：,The following describes the contents of the log:
安全审计日志,Security audit log
用户登录注销,User login and logout
审计追踪,Audit trail
测序/清洗暂停、恢复和停止记录,"Sequencing/wash pause, resume, and stop records"
无效登录尝试,Invalid login attempt
测序/清洗开始和完成记录,Sequencing/wash start and completion records
锁屏（超时自动或手动）,Lock screen (automatic or manual after timeout)
Windows系统登录/注销,Windows system login/logout
仪器报警和异常,Device alarms and abnormalities
维护操作记录,Maintenance operation records
设置更新记录,Setting update records
Windows系统日志,Windows system log
其他,Others
具体操作，参考系统操作指南。,"For details, refer to the system guide."
仅可使用本制造商生产的插件，试剂槽和载片。,"Use only the inserts, cartridges and flow cell of the manufacturer for the sequencing procedure."
取出插件、测序试剂槽、清洗试剂槽和载片进行前期准备。,"Take out the inserts, sequencing reagent cartridge, washing cartridge and flow cell, and prepare them for sequencing."
如暂不使用测序试剂槽，请按照要求进行储存。,"If the sequencing reagent cartridge is not used immediately, store it at appropriate temperature as required."
如有需要，请联系本公司授权的销售代表选购。,You can purchase them as needed from the authorized sales representatives.
测序前，请提前解冻，确保试剂完全融化。,Thaw the cartridge thoroughly before performing sequencing.
准备插件、试剂槽和载片,"Preparing the inserts, cartridges and flow cell"
系统错误和事件,System errors and events
最大声压是在正常使用时操作人员的位置上和距离设备外壳1 m具有最大声压级的任何位置上进行测量和计算得出的结果。,The maximum sound pressure level is measured based on the distance between the position where the device operator stands during normal operation and any position which is one meter from the device and has the maximum sound pressure level.
温湿度波动会影响实验稳定性，每小时温度波动不能超过2 ℃。,The temperature and humidity fluctuations influence the accuracy of the experiment results. Hourly temperature fluctuation must stay within 2°C.
因此，建议在实验室中安装冷暖空调及抽湿或加湿设备。,"Therefore, it is recommended that you install an air conditioning system and a humidifier or dehumidifier in the laboratory to maintain the temperature and humidity."
如需在测序完成后进行自动清洗，请提前放置清洗试剂槽。,"If you need to perform an auto wash after the sequencing is completed, please place the washing cartridge in advance."
仪器不使用时也需维持所需环境要求。,The environment requirements should be kept when the device is not in use.
自动清洗,auto wash.
技术规格,Specifications
本仪器支持,The device supports
额定功率,Rated power
整机激光类别,Laser classification of the device
1类,Class 1 laser product
EMC发射等级,EMC emission
电压,Supply voltage
A类,Class A
电源,Power
分辨率,Resolution
3840×2160像素,3840×2160 pixels
屏幕,Screen
尺寸,Size
1370 mm（宽）×1760 mm（高）× 848 mm（深）,1370 (W) ×1760 (H)× 848 mm (D)
净重,Net weight
23.8英寸,23.8 inches
类型,Type
大气压力范围,Atmospheric pressure
相对湿度,Relative humidity
温度范围,Temperature
约755 kg,About 755 kg (1664.5 lbs)
20%~80%，无冷凝,"20%~80%, non-condensing"
最大声压级,Maximum sound pressure level
操作环境,Operating environment requirements
使用场地,Usage field
室内使用,Indoor use
70 kPa~106 kPa,70 kPa to 106 kPa
15 ℃~25 ℃,15 °C to 25 °C (59 °F to 77 °F)
储存/运输环境,Storage/transportation environment requirements
最高海拔,Maximum altitude
-20 ℃~50 ℃,-20 ℃ to 50 ℃ (-4 ℉ to 122 ℉)
污染等级,Pollution degree
2级,2
3000米,3000 m
安装使用其他软件可能会干扰设备的正常功能，甚至导致数据丢失。,Installing and using other software may interfere with the normal function of the device and even cause data loss.
本仪器只能安装和使用出厂提供的软件。,Only the software provided by the manufacturer can be installed and used on this device.
如需了解软件升级信息或进行软件维护，请联系技术支持。,"If you want to know software update information or need to maintain the software, contact the technical support."
本仪器已启用Microsoft Defender。,Microsoft Defender is enabled on this device.
15%~85%，无冷凝,"15% to 85%, non-condensing"
软件维护,Maintaining the software
随机附件,Accompanying items
恶意软件防护,Malware protection
详见装箱清单,Refer to the packing list
点击界面顶部，进入控制中心界面，点击，在弹框中选择是。,"Tap the top of the interface to enter the Control center interface. Tap, and tap Yes in the pop-up dialog box."
长时间不使用仪器时，请关闭仪器电源，并拔下电源线。,Power off the device and disconnect the power cord if you do not use the device for a long time.
将电源开关拨至OFF位置。,Turn the power switch to the OFF position.
将电源线从插座或 UPS 上拔出。,Disconnect the power cord from the mains supply socket or UPS.
（可选）关机,(Optional) Powering off the device
点击>日志，可查看消息日志和操作日志。,Tap>Log to view the message logs and operation logs.
消息日志页签,Message log tab
日志界面,Log interface
点击不同页签显示该页签的日志类型。,Tap a sub-tab to view the corresponding log type.
所有：显示所有日志类型。,All: Displays all log types.
警告：显示警告类日志。,Warning: Displays warning-type logs.
错误：显示错误类日志。,Error: Displays error-type logs.
日志类型,Log type
点击可设定时间段并查看该时间段内的日志。,Tap to choose a time period and view the logs in the period.
点击可输入关键词搜索日志。,Tap to input keywords to search for logs.
选择显示A/B/C/D各边的日志。,"Select to show logs of side A, B, C or D."
完成后点击右侧的。,"After completion, tap on the right."
可在该页签根据用户名查看操作相关记录。,Select to view the operation logs corresponding to different usernames.
仪器使用前，确保至少准备如下辅助设备：,"Before using the device, prepare the following peripheral items:"
界面控件与消息日志页签类似。,The functions of the interface controls are similar to those of the message log tab.
辅助设备清单,Peripheral device list
操作日志页签,Operation log tab
辅助设备要求,Peripheral device requirements
一般实验室用品牌,General laboratory supplier
推荐品牌,Recommended brand
无霜冰柜或冰箱,Frost-free freezer or refrigerator
温度范围（根据需要）：,Temperature ranges (as required):
超纯水机,Ultra-pure water machine
2 ℃ ~ 8 ℃,2 ℃ to 8 ℃ (36 °F to 46 °F)
备注,Remarks
移液器,Pipette
-25 ℃ ~ -15 ℃,-25 °C to -15 °C (-13 °F to 5 °F)
迷你离心机,Mini centrifuge
网络控制,Network control
漩涡振荡器,Vortex mixer
PCR 仪,Thermal cycler
名称,Item
触摸屏,Touch screen
前视图,Front view
序号,No.
Windows防火墙已启用，并通过防火墙关闭不必要的端口和服务。,Windows Firewall is enabled and unnecessary ports and services are closed through the firewall.
显示信息，点击屏幕可进行界面操作。,Facilitates on-screen operations and displays information.
仪器空闲或运行时，显示仪器状态：,Displays the status when the device is idle or running:
绿色：正常运行中。,Green: The device is running.
蓝色：待机。,Blue: The device is in standby status.
灯带,LED status bar
黄色：出现警告信息。,"Yellow: A warning notification appears, but the device keeps running."
轻按，芯驱自动弹出。,"Gently press, and the drive pops out automatically."
轻按可打开键盘托架。,Press to deploy the keyboard area.
红色：出现故障。,Red: An error occurred.
放置载片。,Holds the flow cells.
键盘区,Keyboard area
芯驱,Flow cell drive
固定脚,Supporting feet
脚轮,Caster
移动仪器。,Used for moving the device.
测序试剂仓和废液仓的仓门。,The door of both the sequencing reagent compartment and waster container compartment.
支撑主机，确保仪器放置平稳。,Supports the main unit to ensure stability.
手动收回。,Manually retract the keyboard area.
总仓门,General compartment door
键盘托架,Keyboard tray
测序试剂仓,Sequencing reagent compartment
放置测序试剂槽和清洗试剂槽，从左往右分别对应A、B、C、D边。,"Holds sequencing reagent cartridges and washing cartridges for sides A, B, C and D from left to right."
放置废液桶，从左往右分别对应A、B、C、D边。,"Holds waste containers for sides A, B, C and D from left to right."
放置键盘和鼠标。,Supports the keyboard and mouse.
废液仓,Waste container compartment
BCS-USB 3.0接口,BCS-USB 3.0 port
连接移动设备。,Connects to USB devices.
固定收回的键盘托架。,Used to fix the retracted keyboard tray.
键盘托架磁力扣,Keyboard tray latch
SBC-USB 3.0接口,SBC-USB 3.0 port
生产地址,Address
日期,Date
编制,Initial release
2025 年 5 月 8 日,"May 8, 2025"
生产厂家,Manufacturer
制造商信息,Manufacturer information
版本记录,Revision history
技术支持邮箱,Technical support E-mail
技术支持厂家,Technical support
技术支持电话,Telephone
该页签信息说明如下：,The following table describes the function of the controls in the tab:
选择上传设置页签，可创建自定义存储地址和远程生信服务器地址。,Select the Uploading setting tab to create the customized storage path and set the IP address of remote bioinformatic server.
点击测试服务器是否连接成功。,Tap to test whether the server is connected successfully.
上传设置,Uploading setting
保存,Save
如为Rsync远程，设置IP地址，端口号，账号及密码。,"For remote rsync, set the IP address, port number, username and password."
在远程生信分析服务器区域，可设置远程生信服务器IP地址和端口号。,"In Remote bioinformatic server area, set the IP address and port number."
连接测试,Connection test
如为本地映射，设置CAL文件上传路径。,"For local mapping, set the uploading path of CAL file."
在存储服务器区域，可创建自定义存储地址。,"In Storage server area, create the customized storage path."
点击保存设置。,Tap to save the settings.
实验室地面需平整，倾斜度小于1/200；实验桌或地面需满足承重要求。,"Ensure that the laboratory floor is level and with a gradient of less than 1/200, and the load-bearing capacity of the laboratory bench or floor meet the requirements."
本仪器提供自动上传功能，用户负责备份数据到服务器，建议连接测序仪至服务器。,The device provides an automatic upload function. The user is responsible for backing up the data to the server. It is recommended to connect the device to the server.
实验室需无尘、无腐蚀性和可燃性气体，无热源及风源。,"Ensure that the laboratory is free of dust, corrosive and flammable gas, and heat and wind sources."
确保实验室的空间足够容纳相关配套或外围设备。,Ensure that enough space has been reserved for related peripheral devices.
建议实验室洁净度满足ISO 14644-1 Class 9。,It is recommended that the cleanliness of the laboratory meet the standard of ISO 14644-1 Class 9.
实验室应避免阳光直射，须通风良好。,Ensure that the laboratory is away from direct sunlight and is well ventilated.
建议参考二级生物安全实验室标准。,It is recommended that you refer to the standard of a biosafety level (BSL) 2 laboratory.
数据备份与灾难恢复,Data backup and disaster recovery
确保仪器四周的空间满足仪器散热、线缆使用、开关使用、仪器操作及仪器维护要求。,"Ensure that enough space is provided around the device for ventilation, cable connection, power switch operation, and device operation and maintenance."
报警信息界面,Alarm information interface
点击，可查看所有报警信息。,Tap to view all alarm information.
点击不同页签显示该页签的信息类型。,Tap a sub-tab to view the corresponding information type.
所有：显示所有故障信息类型。,All: Displays all types of information.
警告：显示警告类信息。,Warning: Displays warning information.
错误：显示错误类信息。,Error: Displays error information.
模块,Module
点击返回至上一页。,Tap to return to the previous page.
点击下拉列表进行选择，可显示相应模块的故障信息。,Tap to select a module from the drop-down list and view the alarm information of the module.
点击可设定时间段并查看该时间段内的故障信息。,Tap to choose a time period and view the alarm information in the period.
选择显示A/B/C/D各边的故障信息。,"Select to display the alarm information of side A, B, C or D."
显示当前页及总页数。,Displays the current page and the total page.
所需工具包括：无水酒精、无尘布、除尘气罐。,"The tools that need to be prepared include absolute ethanol, low-lint cloth, and a dust remover."
芯驱的清洁度会影响载片能否被正确吸附。因此，每次使用前，需要进行清洁。,"Perform cleaning and maintenance for the flow cell drive before each use. Failure to do so may affect the attachment of flow cell
to the chuck."
清洁芯驱,Cleaning the flow cell drive
佩戴手套。,Wear gloves.
如有需要，用无尘布蘸少量无水酒精进行擦拭，并等待自然风干。,Use a lint-free cloth moistened with absolute alcohol to wipe the surface of the drive and wait for air-dry if necessary.
检查芯驱是否有灰尘、杂质或毛刺。,"Check whether dust, impurities or burrs exists on the flow cell drive."
轻按芯驱门上的，芯驱自动弹出。,Press on the flow cell drive door and the drive retracts automatically.
装载耗材界面,Loading consumables interface
在主界面，点击A操作区的，进入装载耗材界面，完成插件、测序试剂槽、清洗试剂槽、废液桶和载片的放置。,"In the main interface, tap in the operation area A to enter the Loading consumables interface. Place inserts, sequencing reagent cartridge, washing cartridge, waste container and flow cell into the corresponding positions."
装载耗材界面实时提示当前步骤完成情况，可按需查看并确认相关信息。,"The Loading consumables interface provides real-time prompts on the completion status of the current step, and you can view and confirm relevant information as needed."
关于装载耗材界面的详细说明，参考。,"For detailed descriptions on Loading consumable interface, refer to ."
用除尘气罐向芯驱进行吹气，直至其表面无可见的灰尘或杂质。,Use a dust remover to carefully blow particulate matter and dust from the surface of the flow cell drive until it is clean.
装载耗材,Loading consumables
中国武汉市东湖新技术开发区高新二路388号武汉光谷国际生物医药企业加速器3.1期24栋,"Building 24, Stage 3.1, BioLake Accelerator, No.388, 2nd Gaoxin Road, East Lake High-Tech Development Zone, 430075, Wuhan, P.R.China"
基因测序仪,Genetic Sequencer
系统操作指南,System guide
电 话：,Telephone
封面_ZH-RUO,Cover_ZH-RUO
信息类型,Information type
武汉华大智造科技有限公司,"Wuhan MGI Tech Co., Ltd."
点击，可查看当前仪器的所有测序记录。,"Tap, and you can view the sequencing history of the current device."
测序记录界面,Sequencing history interface
位置,Position
选择显示A/B/C/D各边的测序记录。,"Tap to view the sequencing history of side A, B, C or D."
点击不同页签显示该页签的数据类型：,Tap a sub-tab to view the corresponding data.
历史数据：显示所有历史测序记录。,History data: Displays the sequencing history.
当前数据：显示当前测序数据。,Current data: Displays the current sequencing data.
点击可设定时间段并查看该时间段内的测序记录。,Tap to choose a time period and view the sequencing history in the period.
点击进入更多查询条件设置页面，填写完成后点击查询。,"Tap to enter More conditions setting interface, set the conditions and tap Search."
如需重新设置查询条件，点击重置。,"To reset the searching conditions, tap Reset."
如需取消设置，点击返回。,"To cancel the setting, tap Back."
更多查询条件,More conditions
点击可重置筛选条件。,Tap to reset filter conditions.
重置筛选条件,Reset conditions
点击该列的，查看测序信息详情。,Tap in this column to view the sequencing details of the corresponding run.
点击该列的，可增加闲时分析任务。,Tap in this column to view the idle time analysis tasks.
点击该列的，进行断点续测。,Tap in this column to resume sequencing.
点击跳至下一页。,Tap to turn to the next page.
点击跳至最后一页。,Tap to turn to the last page.
点击返回至第一页。,Tap to return to the first page.
安全,Safety
界面信息说明如下：,The following table describes the function of controls in the interface:
用户名,Username
仪器开机并自检完成后，自动进入登录界面。,"After the system is powered on and the self-check is completed, the Login interface is displayed."
点击可最小化控制软件，显示计算机桌面。,"Tap to minimize the control software, and display the desktop of the computer."
输入制造商提供的用户名。,Input the username provided by the manufacturer.
输入制造商提供的密码。,Input the password provided by the manufacturer.
密码,Password
使用仪器前，请认真阅读本章并理解其中的内容，以正确使用仪器、发挥其最佳性能、确保自身安全。,"Carefully read and understand the information before use to ensure correct operations, best performance, and personnel safety."
本章介绍本仪器的基本安全信息。,This chapter describes basic safety information about the device.
请保留好说明书，以便随时查阅。,Keep this guide at hand for reference at any time.
关于界面,About interface
本指南及其包含的信息为武汉华大智造科技有限公司（以下简称华大智造）的专有保密信息，未经华大智造的书面许可，任何个人或组织不得全部或部分地对本指南进行重印、复制、修改、传播或公布给他人。,"This guide and the information contained herein are proprietary to Wuhan MGI Tech Co., Ltd. (hereinafter referred to as MGI), and are intended solely for the contractual use of its customers in the use of the products described herein and for no other purpose."
指南版本1.0，软件版本V1。,The guide version is 1.0 and the software version is V1.
本指南的读者为终端用户，指南作为仪器的一部分，由华大智造授权终端用户予以使用。,"Any person or organization cannot entirely or partially reprint, copy, revise, distribute or disclose to others the guide without the prior written consent of MGI."
点击>关于，可查看仪器基本信息，如软件版本、序列号和制造商，也可查看联系信息。,"Tap>About to view the basic information of the device, such as software version, serial number, and manufacturer information, and the contact information."
本指南适用于基因测序仪（DNBSEQ-T7+RS）。,This system guide is applicable to Genetic Sequencer (DNBSEQ-T7+RS).
本指南适用于基因测序仪（DNBSEQ-T7+）。,This guide is applicable to Genetic Sequencer (DNBSEQ-T7+).
关于指南,About the guide
但是，华大智造对遗漏不承担责任，并保留任何对本指南和仪器进行改进以提高其可靠性、功能或设计的权利。,"However, MGI is not responsible for any missing parts of the guide and reserves the right to revise the guide and modify the device, so as to improve the reliability, performance or design."
本指南中的所有图片均为示意图，图片内容可能与实物有细微差异，请以购买的仪器为准。,"Figures in this guide are for illustrative purpose only. The content may be slightly different from the device. For the most up-to-date details, refer to the device purchased."
华大智造对本指南不做任何种类的保证，包括（但不限于）用于特定目的的商业性和合理性的隐含保证。,"MGI makes no commitment to this guide, including (but not limited to) any special commercial purpose and any reasonable implied warranties."
Microsoft?和Windows?是微软公司在美国和/或其他国家（地区）的商标或注册商标。,Microsoft? and Windows?are trademarks or registered trademarks of Microsoft Corporation in the U.S. and/or other countries.
DNBSEQTM是华大智造或其子公司在中国和/ 或其他国家（地区）的商标或注册商标。,DNBSEQTM is a trademark of MGI or its subsidiaries in China and/or other countries.
Intel?是英特尔公司或其子公司在美国和/或其他国家（地区）的商标。,Intel?is the trademark of Intel Corporation or its subsidiaries in the U.S. and/or other countries.
华大智造已经采取措施，确保本指南的准确性。,MGI has taken measures to ensure the correctness of this guide.
文中涉及的其它名称及商标属于各自所有者资产。,Other names and trademarks mentioned in this manual may be claimed as the property of others.
禁止在强辐射源（例如非屏蔽的射频源）附近使用本仪器。,"Do not use the device in close proximity to the sources of strong electromagnetic fields, such as unshielded sources of radiated emissions."
否则，将影响实验结果，或导致漏电，甚至引起电击危险。,"Failure to do so may affect the workflow results, electric leakage, or even electric shock."
禁止移除仪器外壳，将内部部件暴露在外。,Do not remove the device cover and expose the inner components outside.
确保仪器接地正确，接地电阻满足要求。,"Ensure that the device is properly grounded, and the grounding resistance meets the requirements."
否则，可能降低仪器准确性。,Radiated signals may reduce the accuracy of the results.
否则，可能导致电击危险或激光暴露。,"Otherwise, it may cause electric shock."
?2025 武汉华大智造科技有限公司 版权所有。,"?2025 Wuhan MGI Tech Co., Ltd. All rights reserved."
电气安全,Electrical safety
使用仪器前，确保实验室电源插座或UPS（如有）输出端的电压在要求范围内。,Ensure that the voltage of the power outlet in your laboratory or the UPS (if any) meets the voltage requirements before using the device.
否则，可能导致仪器的电子元件性能降低。,Failure to do so may damage the electrical components.
确保输入电压符合仪器要求。,Ensure that the input voltage meets the device requirements.
首次使用仪器前，建议评估,"Before initial use, assess the"
电磁环境,electromagnetic environment
检查电源线和其他线缆是否连接正常、线缆是否完好。,Check whether the power cord and cables are connected correctly and in good condition.
确保按照本说明书中的要求准备实验室及电源。,Prepare the laboratory and power supply according to the instructions described in this system guide.
如需更换线缆，请联系技术支持。,Contact the technical support if new cables are required.
检查线缆周围是否干燥，无积水。,Check whether the area around the cables is dry without water.
检查线缆,Maintaining the power cord
该界面信息说明如下：,The following table describes the function of controls in the interface:
描述,Description
项目,Item
控制中心界面,Control center interface
点击界面顶部蓝色横线，进入控制中心界面。,Tap the blue horizontal line at the top of the interface to enter the Control center interface.
在该界面可实时查看部分部件的状态。,"In this interface, you can view the status of some parts in real time."
温度,Temperature
显示BCS磁盘空间。,Indicates the BCS disk space.
负压,Negative pressure
BCS磁盘空间,BCS disk space
显示载片负压值。,Indicates the negative pressure value of the flow cell.
显示仪器温度。,Indicates the temperature of the device.
显示仪器湿度。,Indicates the humidity of the device.
湿度,Humidity
：门锁已开。,: Door is locked.
试剂仓,Reagent compartment
显示A/B/C/D各边总仓门锁状态，试剂仓抽屉和废液仓抽屉状态。,"Indicates the locking status of the general compartment door and drawer position (open/closed) of the reagent compartment and waste container compartment in sides A, B, C and D."
显示A/B/C/D各边总仓门锁状态和试剂仓抽屉状态。,"Indicates the locking status of the general compartment door and drawer position (open/closed) of the reagent compartment in sides A, B, C and D."
显示载片回收仓状态。,Indicates the status of the flow cell retrieval compartment.
显示Basecall连接状态。,Indicates the Basecall connection status.
载片回收仓,Flow cell retrieval compartment
区域,Area
：抽屉已关闭。,: Drawer is closed.
：抽屉已打开。,: Drawer is open.
：门锁已关。,: Door is locked.
显示A/B/C/D各边总仓门锁状态和废液仓抽屉状态。,"Indicates the locking status of the general compartment door and drawer position (open/closed) of the waste container compartment in sides A, B, C and D."
废液仓,Waste container compartment
反应区（℃）：显示A/B/C/D各边当前反应区chuck温度。,"Reaction area (℃): Indicates the chuck temperature in the current reaction area of sides A, B, C and D."
显示A/B/C/D边各类型的状态，包括以下类型：,"Indicates the status of the following parts in sides A, B, C and D:"
试剂管（℃）：显示A/B/C/D各边当前试剂管温控模块温度。,"Reagent tube (℃): Indicates the temperature of temperature control module for reagent tube of sides A, B, C and D."
反应区（kPa）：显示A/B/C/D各边当前反应区chuck负压。,"Reaction area (kPa): Indicates the negative pressure of chuck in the current reaction area of sides A, B, C and D."
反应区PCR（℃）：显示A/B/C/D各边当前反应区PCR温度。,"Reaction area PCR (℃): Indicates the PCR temperature in the current reaction area of sides A, B, C and D."
废液桶状态 ：显示废液桶状态。,Waste container status: Indicates the status of waste containers.
类型,Type
点击重启电脑。,Tap to restart the computer.
点击可弹出或收回芯驱。,Tap to pop out or retract the flow cell drive.
点击可开启或关闭虚拟键盘。,Tap to open or close the virtual keyboard.
显示虚拟键盘状态。,Indicates the virtual keyboard status.
显示芯驱状态。,Indicates the flow cell drive status.
虚拟键盘,Virtual keyboard
芯驱,Flow cell drive
点击关机。,Tap to turn off the computer.
点击最小化软件。,Tap to minimize the software.
点击退出登录并锁屏。,Tap to log out and lock the screen.
点击重启软件。,Tap to restart the software.
欧代信息,European representative information
关于用户名和密码的信息，请联系技术支持。,"For the information on the username and password, contact the technical support."
登录界面,Login interface
标签,Label
在登录界面，输入用户名和初始密码，点击登录，进入主界面。,"Input the username and password, and tap Log in to enter the main interface."
需登录后才可进行操作。,You can perform operations only after you log in to the control software.
登录控制软件,Logging in to the control software
标题,Title
表示该仪器仅供科研使用，不能用于临床诊断,"Indicates a device that is for research use only, and cannot be used for clinical diagnosis"
序列编号,Serial number
表示该仪器的生产日期,Indicates the date when the device was manufactured
表示该仪器的制造商,Indicates the device manufacturer
符号,Symbol
表示制造商的序列编号，以便识别特定的仪器,Indicates the manufacturer's serial number so that a specific device can be identified
表示用户需要查阅使用说明,Indicates the need for the user to consult the instructions for use
查阅使用说明,Consult instructions for use
说明,Description
产品编号,Catalogue number
表示制造商的产品目录编号，以便识别仪器,Indicates the manufacturer's serial number so that a specific device can be identified
表示仪器制造商,Indicates the device manufacture
生产日期,Date of manufacture
制造商,Manufacturer
表示仪器的生产日期,Indicates the date when the device was manufactured
查看磁盘空间，及时将历史数据备份到外部存储设备。,Check the disk space and timely back up the historical data to the external storage devices.
清理磁盘历史数据,Clearing the historical data in the disk
仪器上的图形符号说明如下：,The following table describes symbols on the device:
通用警告标志,General warning sign
表示一个通用的警告,Signifies a general warning
仪器,Device
指示所标出的部分可能是烫的，不要随意触摸,Indicates that the marked item may be hot and should not be touched without taking care
表示危险电压引起的危险,Indicates hazards arising from dangerous voltages
警示生物性危险,Warns of a hazard from a biological
小心，电击危险,Warning; dangerous voltage
小心，烫伤,Caution; hot surface
避免接触病毒或毒素等,hazard
当心感染,Warning; biological hazard
保护接地,Protective earth
保护导体端子,Indicates the terminal of a protective earth (ground) electrode
表示已接通电源,Indicates connection to the main supply
激光器的激光等级为4类,Class 4 laser
存在激光危害,Warns of a hazard from laser beam
激光警示,Warning; laser beam
通（电源）,"""ON"" (power)"
BCS的接口。,A port for BCS.
连接USB设备,Connects to the external USB devices
断（电源）,"""OFF"" (power)"
